Age,Fare,SibSp,Parch,Sex,Embarked,Pclass,prediction,label,version,timestamp
23.0,9.225,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,35.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
15.0,7.2292,1,1,male,c,3,0,0,1,2026-02-18 14:06:25.781373
25.0,17.8,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.225,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
28.0,9.5,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
22.0,55.0,0,1,female,s,1,1,1,1,2026-02-18 14:06:25.781373
38.0,13.0,0,0,female,s,2,1,0,1,2026-02-18 14:06:25.781373
,7.8792,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
,7.8792,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
40.0,27.9,1,4,male,s,3,0,0,1,2026-02-18 14:06:25.781373
29.0,27.7208,1,0,male,c,2,0,0,1,2026-02-18 14:06:25.781373
45.0,14.4542,0,1,female,c,3,0,0,1,2026-02-18 14:06:25.781373
35.0,7.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,15.5,1,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
30.0,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
60.0,75.25,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,7.2292,0,0,female,c,3,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
24.0,69.3,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
25.0,55.4417,1,0,male,c,1,1,1,1,2026-02-18 14:06:25.781373
18.0,6.4958,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
19.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
22.0,135.6333,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
3.0,21.075,3,1,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,82.1708,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
22.0,7.25,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
27.0,211.5,0,2,male,c,1,0,0,1,2026-02-18 14:06:25.781373
20.0,4.0125,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
19.0,7.775,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
42.0,227.525,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
1.0,15.7417,0,2,female,c,3,1,1,1,2026-02-18 14:06:25.781373
32.0,7.925,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
35.0,52.0,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,73.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
1.0,46.9,5,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
36.0,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,7.7292,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
17.0,12.0,0,0,female,c,2,1,1,1,2026-02-18 14:06:25.781373
36.0,120.0,1,2,male,s,1,1,1,1,2026-02-18 14:06:25.781373
21.0,7.7958,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
28.0,7.925,2,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
23.0,113.275,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
24.0,16.7,0,2,female,s,3,1,1,1,2026-02-18 14:06:25.781373
22.0,7.7958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
31.0,7.8542,0,0,female,s,3,1,0,1,2026-02-18 14:06:25.781373
46.0,26.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
23.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
28.0,12.65,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
39.0,7.925,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
26.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
21.0,9.825,1,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
28.0,15.85,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
20.0,8.6625,0,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
34.0,21.0,1,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
51.0,7.75,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
3.0,18.75,1,1,male,s,2,1,1,1,2026-02-18 14:06:25.781373
21.0,7.775,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,25.4667,3,1,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,6.8583,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
33.0,90.0,1,0,female,q,1,1,1,1,2026-02-18 14:06:25.781373
,0.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
44.0,7.925,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
,8.05,0,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
34.0,32.5,1,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
18.0,13.0,0,2,female,s,2,1,1,1,2026-02-18 14:06:25.781373
30.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
10.0,24.15,0,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
21.0,7.7333,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
29.0,7.875,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
28.0,14.4,1,1,female,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,20.2125,1,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
28.0,26.0,1,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
19.0,26.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
32.0,8.05,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
28.0,26.55,0,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
,16.1,1,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
42.0,26.0,1,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
17.0,7.125,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
50.0,55.9,1,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
14.0,120.0,1,2,female,s,1,1,1,1,2026-02-18 14:06:25.781373
21.0,34.375,2,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
24.0,18.75,2,3,female,s,2,1,1,1,2026-02-18 14:06:25.781373
64.0,263.0,1,4,male,s,1,0,0,1,2026-02-18 14:06:25.781373
31.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
45.0,26.25,1,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
20.0,9.5,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
25.0,7.775,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
28.0,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,8.1125,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
4.0,81.8583,0,2,male,s,1,1,1,1,2026-02-18 14:06:25.781373
13.0,19.5,0,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
34.0,26.55,0,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
5.0,19.2583,2,1,female,c,3,1,1,1,2026-02-18 14:06:25.781373
52.0,30.5,0,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
36.0,27.75,1,2,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,19.9667,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
30.0,27.75,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
49.0,89.1042,1,0,male,c,1,1,1,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
29.0,7.8958,0,0,male,c,3,0,1,1,2026-02-18 14:06:25.781373
65.0,26.55,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
,51.8625,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
50.0,10.5,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
48.0,26.55,0,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
34.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
47.0,38.5,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
48.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
38.0,7.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,0.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
56.0,26.55,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
,7.725,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
0.75,19.2583,2,1,female,c,3,1,1,1,2026-02-18 14:06:25.781373
,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
38.0,8.6625,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
33.0,27.75,1,2,female,s,2,1,1,1,2026-02-18 14:06:25.781373
23.0,13.7917,0,0,female,c,2,1,1,1,2026-02-18 14:06:25.781373
22.0,9.8375,0,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,52.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
34.0,21.0,1,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
29.0,7.0458,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
22.0,7.5208,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
2.0,12.2875,0,1,female,s,3,1,1,1,2026-02-18 14:06:25.781373
9.0,46.9,5,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,0.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
50.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
63.0,9.5875,0,0,female,s,3,0,1,1,2026-02-18 14:06:25.781373
25.0,91.0792,1,0,male,c,1,1,1,1,2026-02-18 14:06:25.781373
,25.4667,3,1,female,s,3,0,0,1,2026-02-18 14:06:25.781373
35.0,90.0,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
58.0,29.7,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
30.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
9.0,15.9,1,1,male,s,3,1,1,1,2026-02-18 14:06:25.781373
,19.9667,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
21.0,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
55.0,30.5,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
71.0,49.5042,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
21.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,14.4583,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
54.0,78.2667,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,15.1,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
25.0,151.55,1,2,female,s,1,1,0,1,2026-02-18 14:06:25.781373
24.0,7.7958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
17.0,8.6625,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
21.0,7.75,0,0,female,q,3,1,0,1,2026-02-18 14:06:25.781373
,7.6292,0,0,female,q,3,0,0,1,2026-02-18 14:06:25.781373
37.0,9.5875,0,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
16.0,86.5,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
18.0,108.9,1,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
33.0,26.0,0,2,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,26.55,0,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
28.0,22.525,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
26.0,56.4958,0,0,male,s,3,1,1,1,2026-02-18 14:06:25.781373
29.0,7.75,0,0,male,q,3,0,1,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
36.0,26.2875,0,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
54.0,59.4,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
24.0,7.4958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
47.0,34.0208,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
34.0,10.5,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,24.15,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
36.0,26.0,1,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
32.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
30.0,93.5,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
22.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.225,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
44.0,57.9792,0,1,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,7.2292,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
40.5,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
50.0,10.5,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,221.7792,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
39.0,7.925,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
23.0,11.5,2,1,male,s,2,0,0,1,2026-02-18 14:06:25.781373
2.0,26.0,1,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,7.2292,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
17.0,7.2292,1,1,male,c,3,0,0,1,2026-02-18 14:06:25.781373
,22.3583,0,2,female,c,3,0,1,1,2026-02-18 14:06:25.781373
30.0,8.6625,0,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
7.0,26.25,0,2,female,s,2,1,1,1,2026-02-18 14:06:25.781373
45.0,26.55,0,0,male,s,1,1,0,1,2026-02-18 14:06:25.781373
30.0,106.425,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,14.5,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
22.0,49.5,0,2,female,c,1,1,1,1,2026-02-18 14:06:25.781373
36.0,71.0,0,2,female,s,1,1,1,1,2026-02-18 14:06:25.781373
9.0,31.275,4,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
11.0,31.275,4,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
32.0,26.0,1,0,male,s,2,0,1,1,2026-02-18 14:06:25.781373
50.0,106.425,1,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
64.0,26.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
19.0,26.0,1,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,13.8625,0,0,male,c,2,0,1,1,2026-02-18 14:06:25.781373
33.0,20.525,1,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
8.0,36.75,1,1,male,s,2,1,1,1,2026-02-18 14:06:25.781373
17.0,110.8833,0,2,male,c,1,1,1,1,2026-02-18 14:06:25.781373
27.0,26.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,7.8292,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
22.0,7.225,0,0,male,c,3,0,1,1,2026-02-18 14:06:25.781373
22.0,7.775,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
62.0,26.55,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
48.0,39.6,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,227.525,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
39.0,79.65,1,1,female,s,1,1,1,1,2026-02-18 14:06:25.781373
36.0,17.4,1,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
40.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
28.0,13.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,8.05,0,0,female,s,3,0,0,1,2026-02-18 14:06:25.781373
24.0,24.15,2,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
19.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
29.0,21.075,0,4,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.2292,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
32.0,7.8542,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
62.0,10.5,0,0,male,s,2,0,1,1,2026-02-18 14:06:25.781373
53.0,51.4792,2,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
36.0,26.3875,0,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
16.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
19.0,14.5,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
34.0,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
39.0,55.9,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
,14.4583,1,0,female,c,3,0,0,1,2026-02-18 14:06:25.781373
32.0,7.925,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
25.0,30.0,1,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
39.0,110.8833,1,1,female,c,1,1,1,1,2026-02-18 14:06:25.781373
54.0,26.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
36.0,40.125,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
,8.7125,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
18.0,79.65,0,2,female,s,1,1,1,1,2026-02-18 14:06:25.781373
47.0,15.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
60.0,79.2,1,1,male,c,1,0,1,1,2026-02-18 14:06:25.781373
22.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
35.0,7.125,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
52.0,78.2667,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
47.0,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.75,0,2,female,q,3,0,0,1,2026-02-18 14:06:25.781373
37.0,26.0,1,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
36.0,24.15,1,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,33.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
49.0,0.0,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.225,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
49.0,56.9292,1,0,male,c,1,1,1,1,2026-02-18 14:06:25.781373
24.0,27.0,2,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,42.4,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
44.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
35.0,26.55,0,0,male,c,1,1,1,1,2026-02-18 14:06:25.781373
36.0,15.55,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
30.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
27.0,30.5,0,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
22.0,41.5792,1,2,female,c,2,1,1,1,2026-02-18 14:06:25.781373
40.0,153.4625,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
39.0,31.275,1,5,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,15.5,1,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
35.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
24.0,65.0,1,2,female,s,2,1,1,1,2026-02-18 14:06:25.781373
34.0,14.4,1,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
26.0,16.1,1,0,female,s,3,1,0,1,2026-02-18 14:06:25.781373
4.0,39.0,2,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
26.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
27.0,14.4542,1,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
42.0,52.5542,1,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
20.0,15.7417,1,1,male,c,3,0,1,1,2026-02-18 14:06:25.781373
21.0,7.8542,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
21.0,16.1,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
61.0,32.3208,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
57.0,12.35,0,0,male,q,2,0,0,1,2026-02-18 14:06:25.781373
21.0,77.9583,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
26.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.7333,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
80.0,30.0,0,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
51.0,7.0542,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
32.0,30.5,0,0,male,c,1,1,1,1,2026-02-18 14:06:25.781373
,0.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
9.0,27.9,3,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
28.0,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
32.0,7.925,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
31.0,26.25,1,1,male,s,2,0,0,1,2026-02-18 14:06:25.781373
41.0,39.6875,0,5,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,16.1,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
20.0,7.8542,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
24.0,69.3,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
2.0,27.9,3,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,56.4958,0,0,male,s,3,1,1,1,2026-02-18 14:06:25.781373
0.75,19.2583,2,1,female,c,3,1,1,1,2026-02-18 14:06:25.781373
48.0,76.7292,1,0,male,c,1,1,1,1,2026-02-18 14:06:25.781373
19.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
56.0,35.5,0,0,male,c,1,0,1,1,2026-02-18 14:06:25.781373
,7.55,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
23.0,7.55,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,23.0,0,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
21.0,8.4333,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.8292,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
18.0,6.75,0,0,female,q,3,0,0,1,2026-02-18 14:06:25.781373
24.0,73.5,2,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
32.0,15.5,1,1,female,q,3,1,0,1,2026-02-18 14:06:25.781373
23.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
58.0,113.275,0,2,male,c,1,0,0,1,2026-02-18 14:06:25.781373
50.0,133.65,2,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
40.0,7.225,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
47.0,25.5875,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
36.0,7.4958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
20.0,7.925,1,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
32.0,73.5,2,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
25.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,7.775,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
43.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,52.0,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
40.0,39.0,1,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
31.0,52.0,1,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
70.0,10.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
31.0,13.0,0,0,male,s,2,0,1,1,2026-02-18 14:06:25.781373
,0.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
18.0,7.775,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
24.5,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,9.8417,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
43.0,46.9,1,6,female,s,3,0,0,1,2026-02-18 14:06:25.781373
36.0,512.3292,0,1,male,c,1,1,1,1,2026-02-18 14:06:25.781373
,8.1375,0,0,female,q,3,0,0,1,2026-02-18 14:06:25.781373
27.0,76.7292,0,0,male,c,1,1,1,1,2026-02-18 14:06:25.781373
20.0,9.225,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
14.0,46.9,5,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
60.0,39.0,1,1,male,s,2,0,0,1,2026-02-18 14:06:25.781373
25.0,41.5792,1,2,male,c,2,0,0,1,2026-02-18 14:06:25.781373
14.0,39.6875,4,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
19.0,10.1708,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,7.7958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
15.0,211.3375,0,1,female,s,1,1,1,1,2026-02-18 14:06:25.781373
31.0,57.0,1,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
4.0,13.4167,0,1,female,c,3,1,1,1,2026-02-18 14:06:25.781373
,56.4958,0,0,male,s,3,1,1,1,2026-02-18 14:06:25.781373
25.0,7.225,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
60.0,26.55,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
52.0,13.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
44.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.7333,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
49.0,110.8833,1,1,male,c,1,0,0,1,2026-02-18 14:06:25.781373
42.0,7.65,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,227.525,1,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
